ENSEMBLID	Symbol	mRNAbinding	IdentifiedCL	IdentifiedControl	p.adj.DESeq	p.adj.IC	RefSeq
ENSG00000112081	SRSF3	mRNA-interactome	identified	identified	1.93E-07	0.001731115	NP_003008
ENSG00000112306	RPS12	mRNA-interactome	identified	identified	0.103634235	0.003809309	NP_001007
ENSG00000112578	BYSL	mRNA-interactome	identified	not identified	4.06E-05	0.003678976	NP_004044
ENSG00000112651	MRPL2	mRNA-interactome	identified	not identified	0.005783346	0.012348888	NP_057034
ENSG00000112773	FAM46A	mRNA-interactome	identified	not identified	0.096773559	0.002992753	NP_060103
ENSG00000112996	MRPS30	mRNA-interactome	identified	not identified	0.005783346	0.001110742	NP_057724
ENSG00000113013	HSPA9	mRNA-interactome	identified	identified	0.151210489	0.004779806	NP_004125
ENSG00000113360	DROSHA	mRNA-interactome	identified	not identified	0.930427451	0.002692947	NP_037367;NP_001093882
ENSG00000113387	SUB1	mRNA-interactome	identified	not identified	0.00049364	0.003625557	NP_006704
ENSG00000113460	BRIX1	mRNA-interactome	identified	not identified	2.74E-05	0.000899027	NP_060791
ENSG00000113649	TCERG1	mRNA-interactome	identified	not identified	0.052105948	0.004467979	NP_006697;NP_001035095
ENSG00000113742	CPEB4	mRNA-interactome	identified	not identified	0.000750884	0.003024483	NP_085130
ENSG00000114127	XRN1	mRNA-interactome	identified	not identified	0.029319648	0.00387407	NP_061874;NP_001036069
ENSG00000114391	RPL24	mRNA-interactome	identified	identified	0.186352721	0.001494867	NP_000977
ENSG00000114416	FXR1	mRNA-interactome	identified	not identified	2.83E-08	0.001122389	NP_001013457;NP_005078;NP_0010...
ENSG00000114503	NCBP2	mRNA-interactome	identified	not identified	0.040298589	0.002101477	NP_031388;NP_001036005
ENSG00000114686	MRPL3	mRNA-interactome	identified	not identified	0.002275245	0.006984353	NP_009139
ENSG00000114767	RRP9	mRNA-interactome	identified	not identified	0.007498822	0.001315893	NP_004695
ENSG00000114867	EIF4G1	mRNA-interactome	identified	identified	7.72E-07	0.00175432	NP_937887;NP_937885;NP_937884;...
ENSG00000115053	NCL	mRNA-interactome	identified	identified	8.23E-17	0.000753652	NP_005372
ENSG00000115128	AC008073.5	mRNA-interactome	identified	not identified	0.009708247	0.003351617	NP_057131
ENSG00000115268	RPS15	mRNA-interactome	identified	not identified	0.040298589	0.001152679	NP_001009
ENSG00000115310	RTN4	mRNA-interactome	identified	not identified	1	0.006070981	NP_008939;NP_997404;NP_065393;...
ENSG00000115368	WDR75	mRNA-interactome	identified	not identified	1.32E-10	0.001158005	NP_115544
ENSG00000115484	CCT4	mRNA-interactome	identified	not identified	0.930427451	0.003803946	NP_006421
ENSG00000115524	SF3B1	mRNA-interactome	identified	identified	6.54E-08	0.00413615	NP_036565;NP_001005526
ENSG00000115541	HSPE1	mRNA-interactome	identified	identified	0.704357705	0.002642214	NP_002148
ENSG00000115677	HDLBP	mRNA-interactome	identified	identified	8.66E-10	0.001121572	NP_005327;NP_976221
ENSG00000115761	NOL10	mRNA-interactome	identified	not identified	0.000750884	0.002708193	NP_079170
ENSG00000115816	CEBPZ	mRNA-interactome	identified	not identified	4.34E-11	0.001621344	NP_005751
ENSG00000115866	DARS	mRNA-interactome	identified	identified	1	0.003759435	NP_001340
ENSG00000115875	SRSF7	mRNA-interactome	identified	identified	2.46E-06	0.00067332	NP_001026854;NP_001182375
ENSG00000116001	TIA1	mRNA-interactome	identified	not identified	1.81E-06	0.011062088	NP_071505;NP_071320
ENSG00000116030	SUMO1	mRNA-interactome	identified	identified	0.626893142	0.001233741	NP_001005781;NP_003343;NP_0010...
ENSG00000116221	MRPL37	mRNA-interactome	identified	not identified	0.001834291	0.005114926	NP_057575
ENSG00000116251	RPL22	mRNA-interactome	identified	identified	8.73E-07	0.002708193	NP_000974
ENSG00000116299	KIAA1324	mRNA-interactome	not identified	identified	0.096773559	0.001315893	NP_065826
ENSG00000116350	SRSF4	mRNA-interactome	identified	not identified	0.000393611	0.002031653	NP_005617
ENSG00000116560	SFPQ	mRNA-interactome	identified	identified	4.79E-09	0.000970329	NP_005057
ENSG00000116750	UCHL5	mRNA-interactome	identified	identified	1	0.00128091	NP_057068;NP_001186190;NP_0011...
ENSG00000116754	SRSF11	mRNA-interactome	identified	not identified	0.040298589	0.002439367	NP_001177916;NP_004759
ENSG00000116898	MRPS15	mRNA-interactome	identified	not identified	0.930427451	0.008898002	NP_112570
ENSG00000117395	EBNA1BP2	mRNA-interactome	identified	not identified	4.25E-07	0.008766552	NP_006815;NP_001153408
ENSG00000117419	ERI3	mRNA-interactome	identified	not identified	0.143405059	0.00418885	NP_076971
ENSG00000117450	PRDX1	mRNA-interactome	identified	identified	0.004679723	0.001039513	NP_001189360;NP_002565;NP_8590...
ENSG00000117523	PRRC2C	mRNA-interactome	identified	identified	0.000530549	0.003967811	NP_055987
ENSG00000117569	PTBP2	mRNA-interactome	identified	not identified	9.17E-07	0.001731115	NP_067013
ENSG00000117597	DIEXF	mRNA-interactome	identified	not identified	0.001834291	0.001635903	NP_055203
ENSG00000117614	SYF2	mRNA-interactome	identified	not identified	0.713048069	0.000934545	NP_056299;NP_997053
ENSG00000117877	CD3EAP	mRNA-interactome	identified	not identified	0.029319648	0.003981153	NP_036231
ENSG00000118246	FASTKD2	mRNA-interactome	identified	not identified	7.79E-10	0.001217925	NP_055744;NP_001129666;NP_0011...
ENSG00000119285	HEATR1	mRNA-interactome	identified	not identified	0.000393611	0.002962087	NP_060542
ENSG00000119314	ROD1	mRNA-interactome	identified	not identified	5.33E-08	0.00078165	NP_001157260;NP_005147;NP_0011...
ENSG00000119616	FCF1	mRNA-interactome	identified	not identified	0.052105948	0.001153923	NP_057046
ENSG00000119705	C14orf156	mRNA-interactome	identified	identified	1.03E-05	0.001121572	NP_112487
ENSG00000119707	RBM25	mRNA-interactome	identified	not identified	0.009708247	0.01959091	NP_067062
ENSG00000119711	ALDH6A1	mRNA-interactome	identified	identified	0.930427451	0.005680882	NP_005580
ENSG00000119812	FAM98A	mRNA-interactome	identified	not identified	2.32E-05	0.001019001	NP_056290
ENSG00000119922	IFIT2	mRNA-interactome	identified	not identified	0.096773559	0.002442062	NP_001538
ENSG00000119953	SMNDC1	mRNA-interactome	identified	not identified	0.016629709	0.005806653	NP_005862
ENSG00000120705	ETF1	mRNA-interactome	identified	not identified	0.005783346	0.552383056	NP_004721
ENSG00000120800	UTP20	mRNA-interactome	identified	not identified	1.95E-10	0.002741686	NP_055318
ENSG00000120948	TARDBP	mRNA-interactome	identified	not identified	5.33E-08	0.000878037	NP_031401
ENSG00000121031	NA	mRNA-interactome	identified	not identified	1.14E-13	0.002659133	
ENSG00000121057	AKAP1	mRNA-interactome	identified	not identified	2.14E-06	0.002673413	NP_003479
ENSG00000121060	TRIM25	mRNA-interactome	identified	not identified	9.01E-05	0.001651554	NP_005073
ENSG00000121274	PAPD5	mRNA-interactome	identified	not identified	0.040298589	0.003078288	NP_001035374
ENSG00000121390	PSPC1	mRNA-interactome	identified	not identified	4.94E-05	0.001621344	NP_001035879
ENSG00000121486	TRMT1L	mRNA-interactome	identified	not identified	3.10E-07	0.006163532	NP_001189352;NP_112196
ENSG00000121766	ZCCHC17	mRNA-interactome	identified	not identified	0.329799582	0.000910766	NP_057589
ENSG00000121774	KHDRBS1	mRNA-interactome	identified	not identified	0.000167486	0.001121572	NP_006550
ENSG00000122026	RPL21	mRNA-interactome	identified	not identified	0.012745281	0.002301593	NP_000973
ENSG00000122299	ZC3H7A	mRNA-interactome	identified	not identified	2.14E-06	0.000811963	NP_054872
ENSG00000122406	RPL5	mRNA-interactome	identified	identified	5.45E-05	0.000871604	NP_000960
ENSG00000122566	HNRNPA2B1	mRNA-interactome	identified	identified	1.14E-13	0.00067332	NP_112533;NP_002128
ENSG00000122870	BICC1	mRNA-interactome	identified	not identified	0.016629709	0.003625557	NP_001073981
ENSG00000122965	RBM19	mRNA-interactome	identified	not identified	3.88E-13	0.000811963	NP_001140171;NP_001140170;NP_0...
ENSG00000123064	DDX54	mRNA-interactome	identified	not identified	5.74E-11	0.001621344	NP_001104792;NP_076977
ENSG00000123136	DDX39A	mRNA-interactome	identified	not identified	0.001466087	0.096474748	NP_001190986;NP_005795
ENSG00000123352	SPATS2	mRNA-interactome	identified	not identified	0.002899518	0.067671009	NP_075559
ENSG00000123384	LRP1	mRNA-interactome	identified	not identified	0.930427451	0.002678123	NP_002323
ENSG00000123737	EXOSC9	mRNA-interactome	identified	not identified	0.072832566	0.005749386	NP_005024;NP_001029366
ENSG00000123838	C4BPA	mRNA-interactome	identified	not identified	0.713048069	0.000951795	NP_000706
ENSG00000123908	EIF2C2	mRNA-interactome	identified	not identified	0.000257809	0.003973588	NP_036286;NP_001158095
ENSG00000124193	SRSF6	mRNA-interactome	identified	not identified	0.000135896	0.002487926	NP_006266
ENSG00000124201	ZNFX1	mRNA-interactome	identified	not identified	6.76E-07	0.003312684	NP_066363
ENSG00000124228	DDX27	mRNA-interactome	identified	not identified	1.47E-08	0.001344874	NP_060365
ENSG00000124279	FASTKD3	mRNA-interactome	identified	not identified	0.016629709	0.001548604	NP_076996
ENSG00000124383	MPHOSPH10	mRNA-interactome	identified	not identified	2.32E-07	0.000910766	NP_005782
ENSG00000124541	RRP36	mRNA-interactome	identified	not identified	0.001834291	0.00163363	NP_149103
ENSG00000124571	XPO5	mRNA-interactome	identified	not identified	6.03E-05	0.00865051	NP_065801
ENSG00000124614	RPS10	mRNA-interactome	identified	identified	0.022778008	0.000811963	NP_001191020;NP_001190174;NP_0...
ENSG00000124795	DEK	mRNA-interactome	identified	identified	1	0.001731115	NP_003463;NP_001128181
ENSG00000124942	AHNAK	mRNA-interactome	identified	identified	0.004771517	0.00272607	NP_076965;NP_001611
ENSG00000125107	CNOT1	mRNA-interactome	identified	not identified	7.42E-05	0.009484057	NP_057368;NP_996882
ENSG00000125351	UPF3B	mRNA-interactome	identified	not identified	0.052105948	0.001145461	NP_542199;NP_075386
ENSG00000125445	MRPS7	mRNA-interactome	identified	not identified	0.000322	0.000882488	NP_057055
ENSG00000125485	DDX31	mRNA-interactome	identified	not identified	0.000927589	0.184462915	NP_619526;NP_073616
ENSG00000125651	GTF2F1	mRNA-interactome	identified	identified	0.041203084	0.004290067	NP_002087
ENSG00000125691	RPL23	mRNA-interactome	identified	identified	0.007369308	0.000970329	NP_000969
ENSG00000125743	SNRPD2	mRNA-interactome	identified	identified	0.678072979	0.003586944	NP_808210;NP_004588
ENSG00000125944	HNRNPR	mRNA-interactome	identified	identified	1.77E-17	0.000753652	NP_001095869;NP_001095868;NP_0...
ENSG00000125970	RALY	mRNA-interactome	identified	not identified	6.27E-09	0.001122389	NP_031393;NP_057951
ENSG00000125977	EIF2S2	mRNA-interactome	identified	identified	0.317458999	0.00506881	NP_003899
ENSG00000126070	EIF2C3	mRNA-interactome	identified	not identified	0.713048069	0.001158005	NP_803171;NP_079128
ENSG00000126254	RBM42	mRNA-interactome	identified	not identified	0.052105948	0.00115354	NP_077297
ENSG00000126524	SBDS	mRNA-interactome	identified	not identified	0.329799582	0.000753652	NP_057122
ENSG00000126602	TRAP1	mRNA-interactome	identified	not identified	0.040298589	0.00187713	NP_057376
ENSG00000126653	CCDC55	mRNA-interactome	identified	identified	0.674391251	0.002487926	NP_115517
ENSG00000126749	EMG1	mRNA-interactome	identified	not identified	0.000209011	0.001621344	
ENSG00000126777	KTN1	mRNA-interactome	identified	not identified	6.54E-06	0.004779806	NP_004977;NP_891556;NP_0010729...
ENSG00000126945	HNRNPH2	mRNA-interactome	identified	not identified	4.04E-11	0.000753652	NP_001186903;NP_001027565;NP_0...
ENSG00000127022	CANX	mRNA-interactome	identified	identified	0.930427451	0.002642214	NP_001019820;NP_001737
ENSG00000127804	METT10D	mRNA-interactome	identified	not identified	0.001160404	0.001461998	NP_076991
ENSG00000128016	ZFP36	mRNA-interactome	identified	not identified	0.329799582	0.006424185	NP_003398
ENSG00000128534	NAA38	mRNA-interactome	identified	not identified	0.004637231	0.038737518	NP_057284
ENSG00000128951	DUT	mRNA-interactome	identified	not identified	0.930427451	0.004924444	NP_001020420;NP_001020419;NP_0...
ENSG00000129245	FXR2	mRNA-interactome	identified	not identified	3.55E-08	0.001773928	NP_004851
ENSG00000129250	KIF1C	mRNA-interactome	identified	not identified	2.32E-05	0.00415615	NP_006603
ENSG00000129282	MRM1	mRNA-interactome	identified	not identified	0.016629709	0.002487926	NP_079140
ENSG00000129347	KRI1	mRNA-interactome	identified	not identified	0.000393611	0.004758085	NP_075384
ENSG00000129351	ILF3	mRNA-interactome	identified	identified	6.01E-12	0.001547251	NP_060090;NP_036350;NP_703194;...
ENSG00000129460	NGDN	mRNA-interactome	identified	not identified	0.001834291	0.002642214	NP_001036100;NP_056329
ENSG00000130119	GNL3L	mRNA-interactome	identified	not identified	0.007498822	0.010953972	NP_001171748;NP_061940
ENSG00000130254	SAFB2	mRNA-interactome	identified	not identified	7.83E-07	0.003802315	NP_055464
ENSG00000130255	RPL36	mRNA-interactome	identified	identified	1	0.002692947	NP_056229;NP_378669
ENSG00000130303	BST2	mRNA-interactome	identified	not identified	1	0.002193751	NP_004326
ENSG00000130305	NSUN5	mRNA-interactome	identified	not identified	0.000110155	0.002741686	NP_001161820;NP_060514;NP_6837...
ENSG00000130402	ACTN4	mRNA-interactome	identified	not identified	0.052105948	0.003425534	NP_004915
ENSG00000130520	LSM4	mRNA-interactome	identified	not identified	0.004637231	0.000882488	NP_036453
ENSG00000130589	RP4-697K14.7	mRNA-interactome	identified	not identified	2.74E-05	0.022947529	NP_208384;NP_001032412
ENSG00000130707	ASS1	mRNA-interactome	identified	not identified	1	0.000871604	NP_000041;NP_446464
ENSG00000130723	PRRC2B	mRNA-interactome	identified	not identified	0.005783346	0.00153224	NP_037450
ENSG00000130749	ZC3H4	mRNA-interactome	identified	not identified	0.000927589	0.001996287	NP_055983
ENSG00000130810	PPAN	mRNA-interactome	identified	not identified	0.000322	0.007435911	NP_064615
ENSG00000130811	EIF3G	mRNA-interactome	identified	identified	0.00209818	0.001153923	NP_003746
ENSG00000130826	DKC1	mRNA-interactome	identified	not identified	1.57E-05	0.001619538	NP_001135935;NP_001354
ENSG00000130935	NOL11	mRNA-interactome	identified	not identified	5.77E-07	0.015947023	NP_056277
ENSG00000130985	UBA1	mRNA-interactome	identified	not identified	0.930427451	0.001592472	NP_003325;NP_695012
ENSG00000131013	PPIL4	mRNA-interactome	identified	not identified	0.001160404	0.002137193	NP_624311
ENSG00000131018	SYNE1	mRNA-interactome	identified	not identified	0.001466087	NA	NP_892006;NP_149062
ENSG00000131051	RBM39	mRNA-interactome	identified	not identified	2.83E-08	0.000753652	NP_909122;NP_004893
ENSG00000131469	RPL27	mRNA-interactome	identified	identified	0.026679225	0.002281805	NP_000979
ENSG00000131503	ANKHD1	mRNA-interactome	identified	not identified	0.001834291	0.016244124	NP_001183959;NP_060217;NP_0789...
ENSG00000131504	DIAPH1	mRNA-interactome	identified	not identified	1	0.000888904	NP_001073280;NP_005210
ENSG00000131732	ZCCHC9	mRNA-interactome	identified	not identified	1.06E-05	0.007141265	NP_001124508;NP_115656;NP_0011...
ENSG00000131981	LGALS3	mRNA-interactome	identified	not identified	0.143405059	0.001220969	NP_002297
ENSG00000132153	DHX30	mRNA-interactome	identified	identified	1.87E-13	0.001153923	NP_619520;NP_055781
ENSG00000132275	RRP8	mRNA-interactome	identified	not identified	1.09E-07	0.000871604	NP_056139
ENSG00000132300	PTCD3	mRNA-interactome	identified	not identified	1.47E-08	0.001136493	NP_060422
ENSG00000132305	IMMT	mRNA-interactome	not identified	identified	1	0.00340497	NP_001093640;NP_006830;NP_0010...
ENSG00000132341	RAN	mRNA-interactome	identified	not identified	0.005783346	0.036636494	NP_006316
ENSG00000132382	MYBBP1A	mRNA-interactome	identified	not identified	1.62E-12	0.004705085	NP_055335;NP_001099008
ENSG00000132463	GRSF1	mRNA-interactome	identified	not identified	2.32E-12	0.000753652	NP_001091947;NP_002083
ENSG00000132466	ANKRD17	mRNA-interactome	identified	not identified	0.000393611	0.005081101	NP_115593;NP_942592
ENSG00000132467	UTP3	mRNA-interactome	identified	not identified	0.005783346	0.012427039	NP_065101
ENSG00000132478	UNK	mRNA-interactome	identified	not identified	0.001160404	0.003625557	NP_001073888
ENSG00000132485	ZRANB2	mRNA-interactome	identified	not identified	7.43E-06	0.001635903	NP_976225;NP_005446
ENSG00000132541	HRSP12	mRNA-interactome	identified	identified	1	0.001187693	NP_005827
ENSG00000132591	ERAL1	mRNA-interactome	identified	not identified	0.002275245	0.077335756	NP_005693
ENSG00000132603	NIP7	mRNA-interactome	identified	not identified	0.007498822	0.002741686	NP_057185;NP_001186363
ENSG00000132676	DAP3	mRNA-interactome	identified	not identified	0.022498643	0.000882488	NP_004623;NP_001186778;NP_3875...
ENSG00000132819	RBM38	mRNA-interactome	identified	not identified	0.096773559	0.004779806	NP_906270;NP_059965
ENSG00000132837	DMGDH	mRNA-interactome	identified	identified	1	0.000753652	NP_037523
ENSG00000133112	TPT1	mRNA-interactome	identified	not identified	1	0.001621344	NP_003286
ENSG00000133606	MKRN1	mRNA-interactome	identified	not identified	0.143405059	0.002708193	NP_001138597;NP_038474
ENSG00000133773	CCDC59	mRNA-interactome	identified	not identified	0.000257809	0.001285231	NP_054886
ENSG00000133858	ZFC3H1	mRNA-interactome	identified	not identified	0.052105948	0.009298939	NP_659419
ENSG00000134001	EIF2S1	mRNA-interactome	identified	not identified	0.000750884	0.041603787	NP_004085
ENSG00000134186	PRPF38B	mRNA-interactome	identified	not identified	0.143405059	0.005256383	NP_060531
ENSG00000134283	PPHLN1	mRNA-interactome	identified	not identified	0.713048069	0.003809309	NP_958847;NP_958923;NP_057572;...
ENSG00000134419	RPS15A	mRNA-interactome	identified	not identified	0.329799582	0.000899285	NP_001025180;NP_001010
ENSG00000134597	RBMX2	mRNA-interactome	identified	not identified	0.143405059	0.00067332	NP_057108
ENSG00000134644	PUM1	mRNA-interactome	identified	not identified	8.70E-14	0.001019001	NP_055491;NP_001018494
ENSG00000134684	YARS	mRNA-interactome	identified	not identified	0.096773559	0.003589375	NP_003671
ENSG00000134697	GNL2	mRNA-interactome	identified	not identified	0.000209011	0.002451746	NP_037417
ENSG00000134744	ZCCHC11	mRNA-interactome	identified	not identified	0.009708247	0.00115354	NP_001009881;NP_056084
ENSG00000134987	WDR36	mRNA-interactome	identified	not identified	0.002899518	0.092464838	NP_644810
ENSG00000135114	OASL	mRNA-interactome	identified	not identified	0.000750884	0.010585319	NP_003724;NP_937856
ENSG00000135250	SRPK2	mRNA-interactome	identified	not identified	0.096773559	0.000970329	NP_872634;NP_872633
ENSG00000135269	TES	mRNA-interactome	identified	not identified	0.930427451	0.000753652	NP_690042;NP_056456
ENSG00000135316	SYNCRIP	mRNA-interactome	identified	identified	1.62E-21	0.000753652	NP_001153149;NP_001153145;NP_0...
ENSG00000135372	NAT10	mRNA-interactome	identified	not identified	9.01E-05	0.003691074	NP_001137502;NP_078938
ENSG00000135387	CAPRIN1	mRNA-interactome	identified	not identified	7.10E-08	0.000899027	NP_005889;NP_976240
ENSG00000135482	ZC3H10	mRNA-interactome	identified	not identified	0.009708247	0.004185954	NP_116175
ENSG00000135486	HNRNPA1	mRNA-interactome	identified	not identified	3.14E-08	0.001421022	NP_002127;NP_112420
ENSG00000135829	DHX9	mRNA-interactome	identified	not identified	1.77E-17	0.001026848	NP_001348
ENSG00000135870	RC3H1	mRNA-interactome	identified	not identified	0.009708247	0.001181617	NP_742068
ENSG00000136026	CKAP4	mRNA-interactome	identified	not identified	1.47E-08	0.000970329	NP_006816
ENSG00000136231	IGF2BP3	mRNA-interactome	identified	not identified	7.78E-11	0.000753652	NP_006538
ENSG00000136270	TBRG4	mRNA-interactome	identified	not identified	5.52E-09	0.001315893	NP_004740;NP_954573;NP_112162
ENSG00000136271	DDX56	mRNA-interactome	identified	not identified	4.90E-07	0.002466476	NP_061955
ENSG00000136450	SRSF1	mRNA-interactome	identified	identified	1.18E-11	0.000753652	NP_001071634;NP_008855
ENSG00000136527	TRA2B	mRNA-interactome	identified	not identified	1.81E-06	0.001177645	NP_004584
ENSG00000136810	TXN	mRNA-interactome	identified	not identified	0.052105948	0.004924444	NP_003320
ENSG00000136854	STXBP1	mRNA-interactome	identified	not identified	1	0.000753652	NP_003156;NP_001027392
ENSG00000136942	RPL35	mRNA-interactome	identified	identified	0.713048069	0.001547251	NP_009140
ENSG00000137073	UBAP2	mRNA-interactome	identified	not identified	1.53E-06	0.001171012	NP_060919
ENSG00000137154	RPS6	mRNA-interactome	identified	identified	0.862767326	0.007035032	NP_001001
ENSG00000137449	CPEB2	mRNA-interactome	identified	not identified	0.007498822	0.038579647	NP_001170853;NP_872291;NP_0011...
ENSG00000137547	MRPL15	mRNA-interactome	identified	not identified	0.003616417	0.001145461	NP_054894
ENSG00000137656	BUD13	mRNA-interactome	identified	not identified	0.930427451	0.005421582	NP_001153208;NP_116114
ENSG00000137710	RDX	mRNA-interactome	identified	identified	0.23659668	0.001315893	NP_002897
ENSG00000137776	SLTM	mRNA-interactome	identified	identified	2.34E-05	0.002477368	NP_001013865;NP_079031
ENSG00000137804	NUSAP1	mRNA-interactome	identified	not identified	0.096773559	0.001402381	NP_057443;NP_060924;NP_0011233...
ENSG00000137815	RTF1	mRNA-interactome	identified	identified	1	0.002050333	NP_055953
ENSG00000137996	RTCD1	mRNA-interactome	identified	not identified	0.096773559	0.00493452	NP_003720;NP_001124313
ENSG00000138029	HADHB	mRNA-interactome	not identified	identified	1	0.007317639	NP_000174
ENSG00000138095	LRPPRC	mRNA-interactome	identified	not identified	5.28E-28	0.000753652	NP_573566
ENSG00000138231	DBR1	mRNA-interactome	identified	not identified	0.329799582	0.007978046	NP_057300
ENSG00000138326	RPS24	mRNA-interactome	identified	identified	0.052149334	0.001315893	NP_001017;NP_148982;NP_0011357...
ENSG00000138385	SSB	mRNA-interactome	identified	not identified	6.21E-12	0.001315893	NP_003133
ENSG00000138398	PPIG	mRNA-interactome	identified	not identified	2.74E-05	0.003633942	NP_004783
ENSG00000138399	FASTKD1	mRNA-interactome	identified	not identified	0.016629709	0.009239004	NP_078898
ENSG00000138593	SECISBP2L	mRNA-interactome	identified	not identified	0.002899518	0.007989109	NP_055516;NP_001180418
ENSG00000138646	HERC5	mRNA-interactome	identified	not identified	0.012745281	0.002423522	NP_057407
ENSG00000138668	HNRNPD	mRNA-interactome	identified	identified	1.06E-09	0.000608651	NP_112738;NP_002129;NP_0010038...
ENSG00000138757	G3BP2	mRNA-interactome	identified	identified	5.98E-06	0.000965033	NP_036429;NP_987101;NP_987100
ENSG00000138768	USO1	mRNA-interactome	identified	not identified	1	0.001026848	NP_003706
ENSG00000139168	ZCRB1	mRNA-interactome	identified	not identified	0.000927589	0.000753652	NP_149105
ENSG00000139218	SCAF11	mRNA-interactome	identified	not identified	0.001834291	0.000753652	NP_004710
ENSG00000139233	LLPH	mRNA-interactome	identified	not identified	0.001005936	0.000899027	NP_115714
ENSG00000139746	RBM26	mRNA-interactome	identified	not identified	0.000167486	0.002741686	NP_071401
ENSG00000139793	MBNL2	mRNA-interactome	identified	not identified	0.000393611	0.013302345	NP_997187;NP_659002
ENSG00000140259	MFAP1	mRNA-interactome	identified	not identified	6.03E-05	0.001091449	NP_005917
ENSG00000140319	SRP14	mRNA-interactome	identified	not identified	0.000750884	0.001095515	NP_003125
ENSG00000140694	PARN	mRNA-interactome	identified	not identified	0.930427451	0.004924444	NP_001127949;NP_002573
ENSG00000140988	RPS2	mRNA-interactome	identified	identified	9.60E-05	0.001145672	NP_002943
ENSG00000141076	CIRH1A	mRNA-interactome	identified	not identified	0.001160404	0.001621344	NP_116219
ENSG00000141141	DDX52	mRNA-interactome	identified	not identified	0.000135896	0.008308321	NP_008941
ENSG00000141456	AC091153.1	mRNA-interactome	identified	not identified	0.096773559	0.003205312	
ENSG00000141526	SLC16A3	mRNA-interactome	identified	not identified	0.713048069	0.001621344	NP_001035888;NP_004198;NP_0010...
ENSG00000141543	EIF4A3	mRNA-interactome	identified	not identified	7.43E-06	0.001889448	NP_055555
ENSG00000142207	URB1	mRNA-interactome	identified	not identified	4.90E-07	0.003850691	NP_055640
ENSG00000142534	RPS11	mRNA-interactome	identified	identified	0.019150597	0.001619538	NP_001006
ENSG00000142541	RPL13A	mRNA-interactome	identified	not identified	0.096773559	0.00078165	NP_036555
ENSG00000142546	NOSIP	mRNA-interactome	identified	not identified	0.040298589	0.004596157	NP_057037
ENSG00000142864	SERBP1	mRNA-interactome	identified	identified	0.000472442	0.001315893	NP_056455;NP_001018077;NP_0010...
ENSG00000142937	RPS8	mRNA-interactome	identified	identified	0.006583323	0.001665976	NP_001003
ENSG00000143319	ISG20L2	mRNA-interactome	identified	not identified	0.000927589	0.045993668	NP_112242
ENSG00000143321	HDGF	mRNA-interactome	identified	not identified	0.016629709	0.00126508	NP_004485;NP_001119523;NP_0011...
ENSG00000143368	SF3B4	mRNA-interactome	identified	not identified	9.01E-05	0.00128091	NP_005841
ENSG00000143569	UBAP2L	mRNA-interactome	identified	not identified	4.11E-13	0.00149681	NP_001120792;NP_055662
ENSG00000143621	ILF2	mRNA-interactome	identified	not identified	8.29E-12	0.001397396	NP_004506
ENSG00000143633	C1orf131	mRNA-interactome	identified	not identified	0.007498822	0.021701436	NP_689592
ENSG00000143748	NVL	mRNA-interactome	identified	not identified	0.002899518	0.008907773	NP_996671;NP_002524
ENSG00000143793	C1orf35	mRNA-interactome	identified	not identified	0.009708247	0.004398928	NP_077295
ENSG00000143799	PARP1	mRNA-interactome	identified	not identified	0.000750884	0.00116996	NP_001609
ENSG00000143889	HNRPLL	mRNA-interactome	identified	not identified	1.72E-06	0.000871604	NP_612403;NP_001136122
ENSG00000143947	RPS27A	mRNA-interactome	identified	identified	0.139392644	0.006903162	NP_001170884;NP_002945;NP_0011...
ENSG00000143977	SNRPG	mRNA-interactome	identified	identified	0.23659668	0.002101477	NP_003087
ENSG00000144028	SNRNP200	mRNA-interactome	identified	not identified	0.002275245	0.006826976	NP_054733
ENSG00000144029	MRPS5	mRNA-interactome	identified	not identified	0.004637231	0.035311981	NP_114108
ENSG00000144048	DUSP11	mRNA-interactome	identified	not identified	0.002899518	0.001508917	NP_003575
ENSG00000144161	ZC3H8	mRNA-interactome	identified	not identified	0.003616417	0.000811963	NP_115883
ENSG00000144381	HSPD1	mRNA-interactome	identified	identified	0.930427451	0.003225964	NP_955472;NP_002147
ENSG00000144635	DYNC1LI1	mRNA-interactome	identified	identified	1	0.003303752	NP_057225
ENSG00000144713	RPL32	mRNA-interactome	identified	identified	0.930427451	0.001454055	NP_001007075;NP_001007074;NP_0...
ENSG00000145216	FIP1L1	mRNA-interactome	identified	not identified	0.072832566	0.001592472	NP_112179;NP_001128409;NP_0011...
ENSG00000145220	LYAR	mRNA-interactome	identified	identified	0.067401502	0.003759435	NP_060286;NP_001139197
ENSG00000145331	RG9MTD2	mRNA-interactome	identified	not identified	0.096773559	0.001145672	NP_001128138;NP_001128137;NP_6...
ENSG00000145354	CISD2	mRNA-interactome	identified	identified	0.930427451	0.002147612	NP_001008389
ENSG00000145425	RPS3A	mRNA-interactome	identified	identified	0.197713844	0.001477269	NP_000997
ENSG00000145741	BTF3	mRNA-interactome	identified	identified	0.23659668	0.001643887	NP_001198;NP_001032726
ENSG00000145907	G3BP1	mRNA-interactome	identified	not identified	2.95E-14	0.000731336	NP_938405;NP_005745
ENSG00000145912	NHP2	mRNA-interactome	identified	not identified	0.000257809	0.001677061	NP_060308;NP_001030005
ENSG00000146109	ABT1	mRNA-interactome	identified	not identified	0.016629709	0.000951795	NP_037507
