Accession Number	Alternate ID	DMSO_B	DMSO_A	TUNIC_A	TUNIC_B	TUNICISRIB_A	TUNICISRIB_B	ISRIB_A	ISRIB_B
NAA40_HUMAN	NAA40	4	1	0	0	1	0	0	0
H31_HUMAN (+1)	HIST1H3A	2	2	0	0	0	0	0	1
TPIS_HUMAN	TPI1	0	4	0	0	0	0	0	2
SLIRP_HUMAN	SLIRP	2	3	0	0	0	0	0	0
RPB1_HUMAN	POLR2A	1	5	0	0	0	0	0	0
YTHD3_HUMAN	YTHDF3	0	5	4	0	0	0	0	0
IF4A3_HUMAN	EIF4A3	0	5	0	0	0	0	0	0
SMHD1_HUMAN	SMCHD1	0	2	0	0	0	0	0	0
RAN_HUMAN	RAN	0	0	1	2	1	1	0	0
RM23_HUMAN	MRPL23	1	2	1	1	0	0	0	0
RRP12_HUMAN	RRP12	1	1	1	0	1	0	0	0
PURA_HUMAN	PURA	0	2	1	1	0	0	0	1
GEMI5_HUMAN	GEMIN5	0	1	0	1	0	0	2	1
IPO5_HUMAN	IPO5	1	1	0	0	0	0	3	0
RS23_HUMAN	RPS23	1	2	0	0	1	0	0	0
PRP31_HUMAN	PRPF31	1	2	0	0	0	0	2	0
RBM22_HUMAN	RBM22	1	3	0	0	0	0	0	1
PTBP3_HUMAN	PTBP3	8	22	0	0	6	0	0	0
DDX1_HUMAN	DDX1	0	2	0	0	2	0	0	0
NAT10_HUMAN	NAT10	0	3	0	0	0	0	2	0
GPC6_HUMAN	GPC6	0	0	3	2	0	0	0	0
HNRL1_HUMAN	HNRNPUL1	0	3	2	0	0	0	0	0
TRY1_HUMAN	PRSS1	0	6	0	0	0	8	0	0
EIF3J_HUMAN	EIF3J	3	0	1	0	0	0	0	0
DNJC2_HUMAN	DNAJC2	2	2	0	0	0	0	0	0
K2C73_HUMAN	KRT73	0	6	1	0	0	0	0	0
API5_HUMAN	API5	0	3	0	0	0	0	1	0
MAGA4_HUMAN	MAGEA4	0	0	0	2	0	0	0	0
GELS_HUMAN	GSN	0	0	0	0	1	1	0	0
MCM2_HUMAN	MCM2	0	4	0	0	0	0	0	0
WDR3_HUMAN	WDR3	0	0	1	0	0	0	0	0
ESYT1_HUMAN	ESYT1	0	2	0	0	0	0	0	0
SC31A_HUMAN	SEC31A	0	5	0	0	0	0	0	0
Q7L0Y3|MRRP1_HUMAN		0	0	0	1	0	1	0	1
SF3B6_HUMAN	SF3B6	2	1	0	1	0	0	0	0
CP131_HUMAN	CEP131	0	1	2	0	0	1	0	0
RM43_HUMAN	MRPL43	1	2	0	0	1	0	0	0
GNS_HUMAN	GNS	0	2	0	1	0	0	0	0
RM13_HUMAN	MRPL13	2	1	0	0	0	0	0	0
DRG1_HUMAN	DRG1	0	0	3	1	0	0	0	0
SCRB2_HUMAN	SCARB2	0	0	1	3	0	0	0	0
DDX47_HUMAN	DDX47	1	1	0	0	0	0	0	0
TMX1_HUMAN	TMX1	0	2	0	0	0	0	1	0
THY1_HUMAN	THY1	0	1	1	0	0	0	0	0
DAZP1_HUMAN	DAZAP1	1	3	0	0	0	0	0	0
IMP3_HUMAN	IMP3	0	0	0	0	0	2	1	0
SUGP2_HUMAN	SUGP2	0	3	0	1	0	0	0	0
CND1_HUMAN	NCAPD2	1	3	0	0	0	0	0	0
PLAP_HUMAN	PLAA	0	2	0	0	0	0	0	1
SSF1_HUMAN	PPAN	0	0	3	0	1	0	0	0
KIF11_HUMAN	KIF11	0	1	0	0	0	0	0	1
MYH10_HUMAN	MYH10	0	8	0	2	0	4	2	0
PARP1_HUMAN	PARP1	0	0	1	1	0	0	0	0
CTR9_HUMAN	CTR9	0	0	1	2	0	0	0	0
HUWE1_HUMAN	HUWE1	0	3	0	0	0	0	0	1
CND3_HUMAN	NCAPG	0	2	0	0	0	0	0	0
MACF1_HUMAN	MACF1	0	1	0	0	0	0	0	0
H2AJ_HUMAN	H2AFJ	0	0	4	0	0	0	0	0
P5CS_HUMAN	ALDH18A1	0	4	0	0	0	0	0	0
RS5_HUMAN	RPS5	0	4	0	0	0	0	0	0
IPO9_HUMAN	IPO9	0	0	0	0	0	0	0	1
MYO1C_HUMAN	MYO1C	1	0	0	0	0	0	0	0
K2C6B_HUMAN	KRT6B	0	48	0	0	0	0	0	0
QCR1_HUMAN	UQCRC1	0	4	0	0	0	0	0	0
RS28_HUMAN	RPS28	0	4	0	0	0	0	0	0
RL27A_HUMAN	RPL27A	0	0	0	1	0	1	1	0
RM27_HUMAN	MRPL27	1	0	1	0	0	1	0	0
CYFP1_HUMAN	CYFIP1	0	1	0	0	0	0	1	1
PEBP1_HUMAN	PEBP1	0	1	0	1	0	0	0	1
RL7L_HUMAN	RPL7L1	1	0	1	0	0	1	0	0
6PGD_HUMAN	PGD	1	1	0	0	0	1	0	0
COF1_HUMAN	CFL1	1	0	0	0	1	0	0	0
EBP2_HUMAN	EBNA1BP2	0	1	1	0	1	0	0	0
RU17_HUMAN	SNRNP70	0	0	1	2	0	0	0	0
HSP74_HUMAN	HSPA4	2	0	0	0	0	0	1	0
SYHC_HUMAN	HARS	0	0	0	0	0	0	1	2
TIF1B_HUMAN	TRIM28	1	0	0	0	0	0	0	1
HDGR2_HUMAN	HDGFL2	0	0	2	0	0	0	1	0
RL21_HUMAN	RPL21	0	0	2	0	0	1	0	0
RS27L_HUMAN (+1)	RPS27L	2	0	0	0	0	0	1	0
SYAC_HUMAN	AARS	2	1	0	0	0	0	0	0
SPAG5_HUMAN	SPAG5	0	1	0	0	0	0	0	1
RTF1_HUMAN	RTF1	0	0	0	2	1	0	0	0
TOP2B_HUMAN	TOP2B	0	1	0	1	0	0	0	0
RL6_HUMAN	RPL6	0	2	0	1	0	0	0	0
TRI25_HUMAN	TRIM25	1	1	0	0	0	0	0	0
K1C17_HUMAN	KRT17	24	0	0	0	0	0	9	0
SYPL1_HUMAN	SYPL1	2	1	0	0	0	0	0	0
KIF4B_HUMAN	KIF4B	0	0	0	0	0	0	1	0
FLII_HUMAN	FLII	0	2	0	0	0	0	0	0
G3BP2_HUMAN	G3BP2	3	0	0	0	0	0	0	0
RBM34_HUMAN	RBM34	3	0	0	0	0	0	0	0
ACPH_HUMAN	APEH	0	3	0	0	0	0	0	0
KRT36_HUMAN	KRT36	0	6	0	0	0	0	0	0
KINH_HUMAN	KIF5B	0	2	0	0	0	0	0	0
EDF1_HUMAN	EDF1	0	3	0	0	0	0	0	0
PDS5A_HUMAN	PDS5A	0	3	0	0	0	0	0	0
LASP1_HUMAN	LASP1	0	3	0	0	0	0	0	0
CEBPZ_HUMAN	CEBPZ	0	2	0	0	0	0	0	0
SC22B_HUMAN	SEC22B	0	2	0	0	0	0	0	0
PP1RA_HUMAN	PPP1R10	2	0	0	0	0	0	0	0
MK67I_HUMAN	NIFK	0	0	0	3	0	0	0	0
RL13_HUMAN	RPL13	0	0	1	0	0	0	0	1
TCPE_HUMAN	CCT5	0	0	1	0	1	0	0	0
PROF1_HUMAN	PFN1	0	1	0	0	1	0	0	0
PDIP3_HUMAN	POLDIP3	1	1	0	0	0	0	0	0
HSP72_HUMAN	HSPA2	0	0	15	0	0	13	0	0
SF3A3_HUMAN	SF3A3	0	1	0	0	0	0	1	0
COX2_HUMAN	MT-CO2	0	1	0	0	0	1	0	0
CHD1_HUMAN	CHD1	0	0	0	1	0	1	0	0
RL35_HUMAN	RPL35	0	1	0	1	0	0	0	0
RM02_HUMAN	MRPL2	0	1	1	0	0	0	0	0
YTHD1_HUMAN	YTHDF1	3	0	0	1	0	0	0	0
THIO_HUMAN	TXN	1	0	0	0	0	0	0	0
HS105_HUMAN	HSPH1	0	1	0	0	0	0	0	0
ECHB_HUMAN	HADHB	0	0	1	0	0	0	0	0
RBP56_HUMAN	TAF15	0	0	0	0	1	0	0	0
SF01_HUMAN	SF1	0	0	1	0	0	0	0	0
EF1A1_HUMAN	EEF1A1	37	0	0	0	0	0	0	27
MYEF2_HUMAN	MYEF2	0	0	2	0	0	0	0	0
RSMB_HUMAN (+1)	SNRPB	0	2	0	0	0	0	0	0
RPB2_HUMAN	POLR2B	0	1	0	0	0	0	0	0
HCD2_HUMAN	HSD17B10	0	0	0	0	0	0	0	1
SYMC_HUMAN	MARS	0	0	1	0	0	0	0	0
NOA1_HUMAN	NOA1	0	1	0	0	0	0	0	0
RRBP1_HUMAN	RRBP1	0	0	0	0	0	0	0	1
SREK1_HUMAN	SREK1	0	0	1	0	0	0	0	0
ETFB_HUMAN	ETFB	0	1	0	0	0	0	0	0
2AAA_HUMAN	PPP2R1A	0	0	0	0	2	0	0	0
FSTL1_HUMAN	FSTL1	0	0	0	0	0	0	0	2
ADRM1_HUMAN	ADRM1	0	2	0	0	0	0	0	0
CNN3_HUMAN	CNN3	2	0	0	0	0	0	0	0
EIF3E_HUMAN	EIF3E	0	2	0	0	0	0	0	0
ERAL1_HUMAN	ERAL1	0	2	0	0	0	0	0	0
K1C13_HUMAN	KRT13	17	0	0	0	0	0	0	0
MCM6_HUMAN	MCM6	0	2	0	0	0	0	0	0
NMT1_HUMAN	NMT1	0	0	0	1	0	0	0	0
PGAM2_HUMAN	PGAM2	0	0	0	0	0	0	2	0
RAVR1_HUMAN	RAVER1	0	2	0	0	0	0	0	0
RM03_HUMAN	MRPL3	1	0	0	0	0	0	0	0
SRP72_HUMAN	SRP72	0	0	0	2	0	0	0	0
SSBP_HUMAN	SSBP1	0	2	0	0	0	0	0	0
TRM1_HUMAN	TRMT1	0	2	0	0	0	0	0	0
UMPS_HUMAN	UMPS	0	0	0	0	0	0	2	0
CPNE4_HUMAN	CPNE4	0	0	0	0	0	1	0	0
DDX54_HUMAN	DDX54	0	0	0	0	0	1	0	0
KRT84_HUMAN	KRT84	12	0	0	0	0	0	0	0
ITAV_HUMAN	ITGAV	0	0	0	0	0	0	1	0
K2C3_HUMAN	KRT3	0	0	2	0	0	0	0	0
PUM3_HUMAN	PUM3	0	1	0	0	0	0	0	0
RFOX1_HUMAN (+1)	RBFOX1	0	0	0	2	0	0	0	0
EF1D_HUMAN	EEF1D	0	0	1	0	0	0	0	0
NCKP1_HUMAN	NCKAP1	0	0	0	0	0	0	0	1
RALYL_HUMAN	RALYL	0	0	5	0	0	0	0	0
RGAP1_HUMAN	RACGAP1	0	0	0	0	0	0	0	1
RL12_HUMAN	RPL12	0	0	0	0	0	0	0	1
USO1_HUMAN	USO1	0	0	0	0	0	0	0	1
WDR43_HUMAN	WDR43	0	0	0	0	1	0	0	0
ANLN_HUMAN	ANLN	1	0	0	0	0	0	0	0
ATPB_HUMAN	ATP5F1B	0	0	0	0	0	0	1	0
CDV3_HUMAN	CDV3	0	0	0	1	0	0	0	0
E2AK2_HUMAN	EIF2AK2	0	1	0	0	0	0	0	0
FA98B_HUMAN	FAM98B	0	0	0	0	0	0	1	0
GBB1_HUMAN	GNB1	0	1	0	0	0	0	0	0
GGYF2_HUMAN	GIGYF2	1	0	0	0	0	0	0	0
IMA5_HUMAN	KPNA1	0	1	0	0	0	0	0	0
IPYR_HUMAN	PPA1	0	0	0	1	0	0	0	0
NAA15_HUMAN	NAA15	1	0	0	0	0	0	0	0
NFKB2_HUMAN	NFKB2	0	0	0	0	0	0	1	0
NU160_HUMAN	NUP160	0	0	0	0	0	0	1	0
NUP93_HUMAN	NUP93	0	1	0	0	0	0	0	0
Q6ZUT6|CO052_HUMAN		0	1	0	0	0	0	0	0
Q9NZM5|GSCR2_HUMAN		0	1	0	0	0	0	0	0
RM10_HUMAN	MRPL10	1	0	0	0	0	0	0	0
RS30_HUMAN	FAU	0	0	0	1	0	0	0	0
RT05_HUMAN	MRPS5	0	0	0	0	0	1	0	0
SNRPA_HUMAN	SNRPA	0	1	0	0	0	0	0	0
SNW1_HUMAN	SNW1	0	1	0	0	0	0	0	0
SQSTM_HUMAN	SQSTM1	0	1	0	0	0	0	0	0
TSP1_HUMAN	THBS1	0	0	0	1	0	0	0	0
TSYL5_HUMAN	TSPYL5	0	1	0	0	0	0	0	0
UBR4_HUMAN	UBR4	0	0	0	0	0	0	1	0
ZN598_HUMAN	ZNF598	1	0	0	0	0	0	0	0
LRC59_HUMAN	LRRC59	0	0	1	0	0	0	0	0
PABP2_HUMAN	PABPN1	0	0	1	0	0	0	0	0
WDR33_HUMAN	WDR33	0	1	0	0	0	0	0	0
HDGR3_HUMAN	HDGFL3	0	0	0	0	0	1	0	0
WDR46_HUMAN	WDR46	0	0	0	1	0	0	0	0
RT18A_HUMAN	MRPS18A	1	0	0	0	0	0	0	0
